Date,Open,High,Low,Close,Volume
07/31/2023,133.2,133.87,132.38,133.68,"41,901,520"
07/28/2023,130.31,133.01,126.11,132.21,"237,746,328"
07/21/2023,134.56,135.99,128.42,130,"351,078,242"
07/14/2023,129.07,136.65,125.92,134.68,"281,521,567"
07/07/2023,130.82,131.85,127.37,129.78,"146,525,070"
06/30/2023,129.33,131.49,127.1,130.36,"254,051,481"
06/23/2023,124.97,130.84,123.85,129.33,"271,350,136"
06/16/2023,124.02,128.41,123.53,125.49,"299,166,208"
06/09/2023,123.36,127.4,120.63,123.43,"302,863,910"
06/02/2023,122.37,126.39,119.17,124.25,"252,755,133"
05/26/2023,116.77,121.5,113.78,120.11,"365,081,887"
05/19/2023,111.15,118.6,109.25,116.25,"318,369,644"
05/12/2023,105.04,113.28,104.7,110.26,"296,925,402"
05/05/2023,104.95,105.96,101.15,105.66,"315,546,634"
04/28/2023,107.66,110.86,102.45,105.45,"489,083,327"
04/21/2023,103.16,108.15,101.39,106.96,"282,579,934"
04/14/2023,100.96,103.2,97.71,102.51,"273,789,700"
04/06/2023,102.3,104.2,99.8,102.06,"178,781,638"
03/31/2023,99.07,103.49,96.29,103.29,"245,608,347"
03/24/2023,98.41,102.1,95.7,98.13,"292,165,671"
03/17/2023,89.97,100.99,88.12,98.95,"375,900,680"
03/10/2023,95.19,96.55,90.25,90.73,"272,158,355"
03/03/2023,94.28,94.94,90.39,94.9,"255,063,558"
02/24/2023,95.34,97.01,92.32,93.5,"221,635,250"
02/17/2023,97.85,101.17,95.65,97.2,"273,466,812"
02/10/2023,102.93,103.95,96.23,97.61,"394,687,422"
02/03/2023,101.09,114,99.01,103.39,"520,198,226"
01/27/2023,97.56,103.49,91.52,102.24,"393,991,288"
01/20/2023,98.68,99.32,92.86,97.25,"288,809,562"
01/13/2023,87.46,98.37,87.08,98.12,"406,953,075"
01/06/2023,85.46,86.98,81.43,86.08,"296,825,343"
12/30/2022,84.97,85.35,81.69,84,"232,909,706"
12/23/2022,87.51,87.63,82.25,85.25,"356,011,890"
12/16/2022,89.21,96.25,86.73,87.86,"463,456,747"
12/09/2022,93.05,94.06,87.48,89.09,"355,830,454"
12/02/2022,93.93,97.23,91.44,94.13,"384,419,766"
11/25/2022,93.97,95.02,90.59,93.41,"241,025,523"
11/18/2022,98.77,103.79,92.48,94.14,"453,874,273"
11/11/2022,91.95,101.19,85.87,100.79,"542,000,727"
11/04/2022,103.56,104.87,88.04,90.98,"654,167,789"
10/28/2022,119.98,121.32,97.66,103.41,"522,207,394"
10/21/2022,110.11,119.59,110.09,119.32,"280,043,148"
10/14/2022,115.1,116.25,105.35,106.9,"299,106,008"
10/07/2022,113.58,123,112.45,114.56,"258,903,688"
09/30/2022,113.3,118.7,112.84,113,"297,031,020"
09/23/2022,122.16,124.71,112.06,113.78,"273,832,911"
09/16/2022,134.1,136.49,120.7,123.53,"340,392,633"
09/09/2022,127.92,133.69,124.74,133.27,"185,133,856"
09/02/2022,129.9,132.07,123.66,127.51,"265,019,316"
08/26/2022,135.72,137.83,130.5,130.75,"216,159,523"
08/19/2022,142.8,146.57,137.91,138.23,"231,518,796"
08/12/2022,142.05,144.6,136.21,143.55,"240,022,839"
08/05/2022,134.96,143.56,133.51,140.8,"331,869,015"
